date,close,change,volume,open,high,low
02/12/2009,4.53,-1.5(-1.89 %),209760,77.5,80.0,77.0
01/12/2009,4.61,0(0.00 %),188270,80.0,81.5,79.5
30/11/2009,4.61,3.5(4.61 %),294120,78.0,79.5,76.0
27/11/2009,4.41,3.5(4.83 %),381500,69.0,76.0,69.0
26/11/2009,4.21,-3.5(-4.61 %),360310,72.5,76.0,72.5
25/11/2009,4.41,-4(-5.00 %),500720,79.0,80.0,76.0
24/11/2009,4.64,-2(-2.44 %),263770,81.0,82.0,80.0
23/11/2009,4.76,-2(-2.38 %),240750,84.0,84.0,80.5
20/11/2009,4.87,0(0.00 %),108760,83.5,84.0,82.5
19/11/2009,4.87,1(1.20 %),136230,83.0,84.0,83.0
18/11/2009,4.82,0.5(0.61 %),227080,83.0,83.5,82.5
17/11/2009,4.79,0.5(0.61 %),199100,83.0,83.0,81.5
16/11/2009,4.76,-2(-2.38 %),400690,83.0,84.5,82.0
13/11/2009,4.87,0(0.00 %),142040,82.5,84.0,82.5
12/11/2009,4.87,2(2.44 %),292170,82.5,84.5,82.0
11/11/2009,4.76,2(2.50 %),197380,81.0,82.0,80.0
10/11/2009,4.64,-1.5(-1.84 %),309780,82.5,82.5,80.0
09/11/2009,4.73,-0.5(-0.61 %),204280,82.0,83.0,81.5
06/11/2009,4.76,-2.5(-2.96 %),125400,86.0,86.0,82.0
05/11/2009,4.9,2.5(3.05 %),138140,83.5,84.5,83.0
04/11/2009,4.76,1(1.23 %),323670,81.0,83.0,80.5
03/11/2009,4.7,-1(-1.22 %),159800,84.0,84.0,80.5
02/11/2009,4.76,-4(-4.65 %),612130,82.5,83.5,82.0
30/10/2009,4.99,1(1.18 %),223510,86.0,87.0,82.5
29/10/2009,4.93,-2.5(-2.86 %),327940,85.5,87.0,84.0
28/10/2009,5.08,-0.5(-0.57 %),149230,89.0,89.0,87.0
27/10/2009,5.11,-1(-1.12 %),400590,89.0,89.0,87.0
26/10/2009,5.16,-0.5(-0.56 %),505350,89.0,90.0,88.5
23/10/2009,5.19,-1(-1.10 %),408920,92.0,92.0,89.5
22/10/2009,5.25,1.5(1.69 %),376810,89.0,91.0,88.5
21/10/2009,5.16,-1.5(-1.66 %),316080,90.5,90.5,89.0
20/10/2009,5.25,1.5(1.69 %),346720,92.0,92.0,90.0
19/10/2009,5.16,-2.5(-2.73 %),398520,92.0,92.0,89.0
16/10/2009,5.31,-1.5(-1.61 %),575620,93.0,94.0,91.5
15/10/2009,5.4,4(4.49 %),1027360,93.0,93.0,90.0
14/10/2009,5.16,1.5(1.71 %),477770,87.0,89.0,87.0
13/10/2009,5.08,0(0.00 %),466710,87.5,88.0,87.0
12/10/2009,5.08,1(1.16 %),592020,87.5,88.5,87.0
09/10/2009,5.02,0(0.00 %),562390,87.0,87.5,86.0
08/10/2009,5.02,0(0.00 %),246850,87.0,87.0,85.5
07/10/2009,5.02,3.5(4.22 %),336950,85.0,87.0,84.5
06/10/2009,4.82,0.5(0.61 %),339770,84.0,85.0,82.5
05/10/2009,4.79,0(0.00 %),774310,83.0,84.0,81.5
02/10/2009,4.79,-2.5(-2.94 %),686700,81.5,83.5,81.0
01/10/2009,4.93,-1.5(-1.73 %),620340,86.5,86.5,85.0
30/09/2009,5.02,0(0.00 %),905310,86.5,87.5,86.0
29/09/2009,5.02,-0.5(-0.57 %),894270,87.5,87.5,86.0
28/09/2009,5.05,0(0.00 %),889040,87.0,88.0,86.5
25/09/2009,5.05,0(0.00 %),643170,87.0,87.5,86.5
24/09/2009,5.05,-1(-1.14 %),422860,88.0,88.0,86.5
23/09/2009,5.11,-1(-1.12 %),831800,89.5,90.0,88.0
22/09/2009,5.16,-1(-1.11 %),460640,88.0,91.5,88.0
21/09/2009,5.22,0(0.00 %),314940,91.0,91.5,90.0
18/09/2009,5.22,0(0.00 %),607370,88.0,90.0,88.0
17/09/2009,5.22,3(3.45 %),973080,88.0,90.5,86.0
16/09/2009,5.05,-3(-3.33 %),931000,90.0,90.0,86.5
15/09/2009,5.22,2(2.27 %),745520,92.0,92.0,88.5
14/09/2009,5.11,4(4.76 %),1027940,87.0,88.0,86.5
11/09/2009,4.87,-0.5(-0.59 %),451540,84.5,85.0,84.0
10/09/2009,4.9,0.5(0.60 %),333480,81.0,84.5,81.0
09/09/2009,4.87,1(1.20 %),361920,84.5,84.5,82.0
08/09/2009,4.82,1(1.22 %),269040,83.0,83.5,82.0
07/09/2009,4.76,-2(-2.38 %),594460,81.5,82.0,80.0
04/09/2009,4.87,-1.5(-1.75 %),669090,86.0,86.0,84.0
03/09/2009,4.96,-2(-2.29 %),616240,86.0,87.0,85.0
01/09/2009,5.08,-1.5(-1.69 %),411450,87.5,88.5,87.0
31/08/2009,5.16,2(2.30 %),380650,88.0,89.0,88.0
28/08/2009,5.05,1(1.16 %),418120,86.0,87.0,85.0
27/08/2009,4.99,0(0.00 %),877910,85.5,86.0,83.5
26/08/2009,4.99,-1(-1.15 %),495630,86.5,87.0,85.0
25/08/2009,5.05,0.5(0.58 %),575740,87.5,90.0,87.0
24/08/2009,5.02,4(4.85 %),857000,83.0,86.5,83.0
21/08/2009,4.79,2(2.48 %),499440,81.5,84.0,81.0
20/08/2009,4.67,0.5(0.62 %),220510,81.0,81.0,80.0
19/08/2009,4.64,1(1.27 %),350280,79.5,80.0,79.5
18/08/2009,4.58,-0.5(-0.63 %),293950,78.0,79.5,78.0
17/08/2009,4.61,-0.5(-0.62 %),359380,80.0,80.5,79.5
14/08/2009,4.64,-0.5(-0.62 %),223410,79.0,80.5,79.0
13/08/2009,4.67,0.5(0.62 %),354750,81.0,81.0,80.0
12/08/2009,4.64,0.5(0.63 %),352250,79.5,80.5,79.5
11/08/2009,4.61,0(0.00 %),169070,79.0,80.0,79.0
10/08/2009,4.61,1.5(1.92 %),354770,78.0,80.0,78.0
07/08/2009,4.53,0(0.00 %),139270,78.0,78.5,77.5
06/08/2009,4.53,0.5(0.65 %),356890,77.5,78.5,77.5
05/08/2009,4.5,0(0.00 %),219010,77.0,77.5,77.0
04/08/2009,4.5,1(1.31 %),313400,78.0,78.0,77.0
03/08/2009,4.44,0(0.00 %),192740,75.5,77.0,75.5
31/07/2009,4.44,1.5(2.00 %),333390,76.5,77.0,76.0
